displacement (mm),userSpeed (Gamma/kA),userSpeed (m/s),longSpeed (Gamma/kA),longSpeed (m/s),forceProjOnVelAve (1e-3\hbar*k*\Gamma),forceProjOnVelStd (1e-3\hbar*k*\Gamma),accelProjOnVelAve (mm/ms^2),accelProjOnVelStd (mm/ms^2),forceProjOnPosAve (1e-3\hbar*k*\Gamma),forceProjOnPosStd (1e-3\hbar*k*\Gamma),accelProjOnPosAve (mm/ms^2),accelProjOnPosStd (mm/ms^2),forceProjOnLongAve (1e-3\hbar*k*\Gamma),forceProjOnLongStd (1e-3\hbar*k*\Gamma),accelProjOnLongAve (mm/ms^2),accelProjOnLongStd (mm/ms^2),PF1Down,PF0,PF1Up,PF2,PExc
1.5,5.0,21.978450000000002,32.0,140.66208,-20.757688018972935,1.2555759802485693,-4.836315563626117,0.2925355487104834,-20.74747548242701,1.2531168075476153,-4.833936153674681,0.2919625882152492,0.0,0.0,0.0,0.0,0.265850689959987,0.057176521652414006,0.2328435429881078,0.2634909366728948,0.18063830872660888
3.0,-5.0,-21.978450000000002,32.0,140.66208,-16.665931369676645,1.7187794141662813,-3.882980763166898,0.4004569113657901,16.686828862768753,1.7157294350317078,3.887849651792151,0.399746299396683,0.0,0.0,0.0,0.0,0.28131725000611824,0.05436983122853968,0.25236732503055276,0.25271685509986963,0.15922873863493076
3.0,-4.0,-17.58276,32.0,140.66208,-19.72273345492915,0.9402477413744605,-4.595182405580971,0.21906749832241698,19.718937735842157,0.9382807583442635,4.59429804431305,0.21860921266778938,0.0,0.0,0.0,0.0,0.27408742371200606,0.05052732604690289,0.2548322694320906,0.25743238976310395,0.1631205910459079
3.0,-3.0,-13.18707,32.0,140.66208,-27.466364315424983,1.8884260730117288,-6.399364182249013,0.43998273792901266,27.47731816600895,1.8773255267680329,6.401916310309346,0.43739643137531226,0.0,0.0,0.0,0.0,0.2724306846771953,0.061643063286263455,0.24444443907540242,0.2523206777431807,0.16916113521797016
3.0,-2.0,-8.79138,32.0,140.66208,-19.546615422874154,1.4716243963144864,-4.554148819437647,0.34287248007592863,19.568470432961114,1.470036029248958,4.559240799109475,0.3425024078235302,0.0,0.0,0.0,0.0,0.27073817299043185,0.06366472751678712,0.24653451284548683,0.26255512414105286,0.156507462506252
3.0,-1.0,-4.39569,32.0,140.66208,-2.6526130190162327,0.25884156790279733,-0.6180299856332567,0.06030727035773345,2.6100874481284224,0.2663870352931142,0.6081219900920954,0.062065282200924665,0.0,0.0,0.0,0.0,0.24093791945460535,0.0581607554290686,0.22912032909594776,0.33309199531430705,0.1386890007060806
3.0,-0.75,-3.2967675,32.0,140.66208,2.7086385050251147,0.5237696958552283,0.6310833145828398,0.12203264301424326,-2.666421933025318,0.5260441811449097,-0.6212473124221493,0.1225625733511705,0.0,0.0,0.0,0.0,0.2418269093789513,0.05646916794097355,0.2117911043669381,0.36052615251790965,0.12938666579523653
3.0,-0.5,-2.197845,32.0,140.66208,9.213861008809436,0.9751037979649819,2.146729412122543,0.22718858044010226,-9.20240005577931,0.9624523535483023,-2.144059134707114,0.22424093147848317,0.0,0.0,0.0,0.0,0.2407923188831679,0.053197050352571905,0.18438598048967042,0.40646113302729303,0.11516351724730467
3.0,-0.25,-1.0989225,32.0,140.66208,6.717072034590851,0.6731522906278725,1.5650047343035867,0.15683716302501946,-6.6744785276443555,0.6782944942840224,-1.5550809103995724,0.15803524055421453,0.0,0.0,0.0,0.0,0.23516190799474912,0.0498822528679483,0.15231107915331016,0.4643546940774138,0.09829006590658759
3.0,-0.1,-0.43956900000000004,32.0,140.66208,3.857949913006869,0.2569927390613492,0.8988603736076545,0.05987651334412944,-3.8496682575669445,0.23025158579318347,-0.896930837955125,0.0536461154490492,0.0,0.0,0.0,0.0,0.2506646575229451,0.05057185179756846,0.14880085247665026,0.4551813008488123,0.09478133735403263
